type_of_facility,clinic_name,clinic_stop,collect_gps_coordinates
gaia_mobile_clinic,chitakale,ntiza,-15.9852112 35.4011992 729.98 3.79
gaia_mobile_clinic,chitakale,chimwaza,-16.0256605 35.5077756 624.03 3.97
gaia_mobile_clinic,chitakale,namangolo,-16.1214738 35.5850741 582.07 3.87
gaia_mobile_clinic,chitakale,chikuse,-16.1202222 35.6110683 618.0 11.31
gaia_mobile_clinic,chitakale,machokola,-16.1084536 35.4328876 595.02 25.96
gaia_mobile_clinic,mangochi1,thukululu,-14.2613957 35.0002659 506.0 3.7
gaia_mobile_clinic,mangochi1,mbeya,-14.1178324 34.8687357 473.0 5.0
gaia_mobile_clinic,mangochi1,kanyenga,-14.3152582 34.958007 610.0 5.0
gaia_mobile_clinic,mangochi1,mponda,-14.2713709 34.8849556 561.0 4.9
gaia_mobile_clinic,mangochi1,sosola,-14.4244421 34.7890777 507.0 5.0
gaia_mobile_clinic,mangochi2,mtola,-14.2988082 34.915485 532.77 5.0
gaia_mobile_clinic,mangochi2,chibvuu_2,-14.3796044 34.9448583 628.99 5.0
gaia_mobile_clinic,mangochi2,kela,-14.418461 34.8318359 540.75 11.33
gaia_mobile_clinic,mangochi2,mdala_chikowa,-14.2507069 35.0827851 434.0 9.75
gaia_mobile_clinic,mangochi2,chididi,-14.2909829 35.0080172 540.0 7.6
gaia_mobile_clinic,nkanda,mwanakhu,-16.0126896 35.4906873 0.0 699.99
gaia_mobile_clinic,nkanda,kabuthu,-15.8067394 35.3754987 732.72 22.0
gaia_mobile_clinic,nkanda,mbewa,-15.9495636 35.4872092 691.0 6.7
gaia_mobile_clinic,nkanda,sadibwa,-15.8177283 35.5240067 674.0 8.75
gaia_mobile_clinic,nkanda,chikonde,-15.8648715 35.4406535 713.0 6.6
gaia_mobile_clinic,phalombe1,nambera,-15.6069095 35.7737254 653.68 8.5
gaia_mobile_clinic,phalombe1,likhonyowa,-15.6345768 35.6859223 687.93 9.75
gaia_mobile_clinic,phalombe1,nambiti,-15.8027367 35.763805 732.4 3.9
gaia_mobile_clinic,phalombe1,chiwalo,-15.5830247 35.7640143 615.17 4.8
gaia_mobile_clinic,phalombe1,mwambeni,-15.6314142 35.5544804 672.2 4.87
gaia_mobile_clinic,phalombe2,chimbalanga,-15.5295476 35.7842487 639.5 87.14
gaia_mobile_clinic,phalombe2,miseu_4,-15.6694033 35.5084019 668.0 5.25
gaia_mobile_clinic,phalombe2,njovu,-15.5287801 35.6483971 617.0 8.62
gaia_mobile_clinic,phalombe2,mulambe,-15.6301753 35.7831448 652.18 3.79
gaia_mobile_clinic,phalombe2,kanula,-15.8080507 35.5745831 713.83 6.06
gaia_mobile_clinic,phalombe3,mpata,-15.8379969 35.6936489 1117.0 11.1
gaia_mobile_clinic,thanzi,tiputipu,-14.5298597 34.7958032 589.64 3.79
gaia_mobile_clinic,thanzi,juma_mbanga,-14.4568147 34.8343897 527.71 4.42
gaia_mobile_clinic,thanzi,sokole,-14.4694203 34.7913558 547.1 4.03
gaia_mobile_clinic,thanzi,mbape,-14.3186408 34.8133736 514.29 6.12
gaia_mobile_clinic,thanzi,mtonda,-14.2788233 35.0963717 466.34 6.56